V3 Climatology Data: Level 2.0 Quality Assured Data (cloud screened, quality controlled, and final calibration applied)
AERONET Algorithm: Version 3
Site: Thessaloniki, longitude=22.960000, latitude=40.630000, elevation=60 m
PI: Alkiviadis_Bais
PI email(s): abais@auth.gr
Year(s): 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022
Month,AOD_1640nm_avg,AOD_1640_std,AOD_1020nm_avg,AOD_1020_std,AOD_870nm_avg,AOD_870_std,AOD_675nm_avg,AOD_675_std,AOD_667nm_avg,AOD_667_std,AOD_555nm_avg,AOD_555_std,AOD_551nm_avg,AOD_551_std,AOD_532nm_avg,AOD_532_std,AOD_531nm_avg,AOD_531_std,AOD_500nm_avg,AOD_500_std,AOD_490nm_avg,AOD_490_std,AOD_443nm_avg,AOD_443_std,AOD_440nm_avg,AOD_440_std,AOD_412nm_avg,AOD_412_std,AOD_380nm_avg,AOD_380_std,AOD_340nm_avg,AOD_340_std,PW_avg_(cm),PW_std_(cm),AOD_500nm-Interpolated_avg,AOD_500nm-Interpolated_avg_std,AE_440nm-870nm_avg,AE_440nm-870nm_std,AE_380nm-500nm_avg,AE_380nm-500nm_std,AE_440nm-675nm_avg,AE_440nm-675nm_std,AE_500nm-870nm_avg,AE_500nm-870nm_std,AE_340nm-440nm_avg,AE_340nm-440nm_std,AE_polar_inst_440nm-675nm_avg,AE_polar_inst_440nm-675nm_std,AOD_1640nm_days,AOD_1020nm_days,AOD_870nm_days,AOD_675nm_days,AOD_667nm_days,AOD_555nm_days,AOD_551nm_days,AOD_532nm_days,AOD_531nm_days,AOD_500nm_days,AOD_490nm_days,AOD_443nm_days,AOD_440nm_days,AOD_412nm_days,AOD_380nm_days,AOD_340nm_days,PW_days,AOD_500nm-Interpolated_days,AE_440nm-870nm_days,AE_380nm-500nm_days,AE_440nm-675nm_days,AE_500nm-870nm_days,AE_340nm-440nm_days,AE_polar_inst_440nm-675nm_days,AOD_1640nm_Obs,AOD_1020nm_Obs,AOD_870nm_Obs,AOD_675nm_Obs,AOD_667nm_Obs,AOD_555nm_Obs,AOD_551nm_Obs,AOD_532nm_Obs,AOD_531nm_Obs,AOD_500nm_Obs,AOD_490nm_Obs,AOD_443nm_Obs,AOD_440nm_Obs,AOD_412nm_Obs,AOD_380nm_Obs,AOD_340nm_Obs,PW_Obs,AOD_500nm-Interpolated_Obs,AE_440nm-870nm_Obs,AE_380nm-500nm_Obs,AE_440nm-675nm_Obs,AE_500nm-870nm_Obs,AE_340nm-440nm_Obs,AE_polar_inst_440nm-675nm_Obs,
JAN,0.014910,0.015171,0.052267,0.044700,0.062639,0.049557,0.090745,0.062988,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,0.135938,0.084140,-100.000000,-100.000000,-100.000000,-100.000000,0.170637,0.102656,-100.000000,-100.000000,0.192694,0.111789,0.217008,0.123744,0.887271,0.373858,0.141330,0.088010,1.545793,0.317539,1.292146,0.232929,1.535643,0.295726,1.606266,0.312838,1.125531,0.270918,1.175883,0.490383,24,262,262,262,-100,-100,-100,-100,-100,228,-100,-100,262,-100,226,226,264,262,262,228,262,228,226,14,1433,7075,7077,7077,-100,-100,-100,-100,-100,6559,-100,-100,7076,-100,6547,6517,7359,7077,7077,6560,7076,6564,6548,234
FEB,0.020327,0.013548,0.060710,0.052322,0.071159,0.057250,0.099012,0.070746,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,0.159668,0.097403,-100.000000,-100.000000,-100.000000,-100.000000,0.178980,0.105143,-100.000000,-100.000000,0.219260,0.120865,0.244423,0.130491,0.983705,0.351861,0.149838,0.092715,1.452630,0.376465,1.249791,0.271576,1.476982,0.334191,1.492392,0.367901,1.077220,0.268648,1.519969,0.359701,18,200,200,200,-100,-100,-100,-100,-100,169,-100,-100,200,-100,168,168,200,200,200,169,200,169,168,16,1000,6159,6159,6159,-100,-100,-100,-100,-100,5514,-100,-100,6159,-100,5507,5471,6401,6159,6159,5514,6159,5516,5508,400
MAR,0.040594,0.041314,0.074691,0.053418,0.088324,0.060936,0.126473,0.078978,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,0.196675,0.114547,-100.000000,-100.000000,-100.000000,-100.000000,0.235822,0.133371,-100.000000,-100.000000,0.280582,0.157395,0.316042,0.176471,1.094511,0.342365,0.195777,0.113437,1.518466,0.348399,1.329641,0.249452,1.511525,0.301358,1.564995,0.356263,1.184053,0.261873,1.461337,0.327160,21,238,238,238,-100,-100,-100,-100,-100,201,-100,-100,238,-100,201,200,240,238,238,201,238,201,201,22,1295,8743,8744,8743,-100,-100,-100,-100,-100,7702,-100,-100,8744,-100,7695,7611,8995,8745,8745,7702,8744,7703,7695,800
APR,0.094167,0.095215,0.092703,0.070661,0.106274,0.076710,0.145002,0.092621,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,0.208963,0.116868,-100.000000,-100.000000,-100.000000,-100.000000,0.259675,0.144108,-100.000000,-100.000000,0.296292,0.156798,0.333421,0.176517,1.405835,0.389118,0.217518,0.124253,1.395329,0.386851,1.324554,0.290696,1.424141,0.348221,1.388779,0.426659,1.179708,0.273536,1.405022,0.327789,22,247,247,247,-100,-100,-100,-100,-100,212,-100,-100,247,-100,212,212,247,247,247,212,247,212,212,22,1757,9791,9789,9791,-100,-100,-100,-100,-100,8858,-100,-100,9791,-100,8853,8726,9937,9791,9791,8858,9791,8859,8854,786
MAY,0.071654,0.049935,0.102131,0.075036,0.114815,0.079550,0.151752,0.090616,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,0.213816,0.118318,-100.000000,-100.000000,-100.000000,-100.000000,0.262339,0.136909,-100.000000,-100.000000,0.301322,0.156136,0.339027,0.175792,1.999555,0.446054,0.221819,0.118582,1.324831,0.428268,1.323059,0.318288,1.344381,0.389566,1.312510,0.458804,1.201888,0.301878,1.401221,0.354971,28,343,341,343,-100,-100,-100,-100,-100,271,-100,-100,343,-100,271,270,345,343,343,271,343,271,271,53,2160,11698,11538,11698,-100,-100,-100,-100,-100,9762,-100,-100,11695,-100,9754,9678,11913,11697,11697,9762,11696,9765,9756,1723
JUN,0.085771,0.121693,0.100240,0.083816,0.115740,0.089266,0.161797,0.103385,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,0.228688,0.114523,-100.000000,-100.000000,-100.000000,-100.000000,0.296658,0.156101,-100.000000,-100.000000,0.335600,0.145925,0.379696,0.163160,2.564606,0.467525,0.246545,0.135022,1.510740,0.424276,1.487925,0.347309,1.507864,0.386228,1.521127,0.472078,1.350725,0.339295,1.449365,0.372624,43,435,434,435,-100,-100,-100,-100,-100,324,-100,-100,435,-100,324,324,436,435,435,324,435,324,324,64,3286,16697,16603,16694,-100,-100,-100,-100,-100,13883,-100,-100,16698,-100,13878,13870,17548,16698,16698,13884,16696,13885,13880,1965
JUL,0.055443,0.050904,0.087453,0.045708,0.107124,0.052632,0.163728,0.072954,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,0.271557,0.118432,-100.000000,-100.000000,-100.000000,-100.000000,0.332562,0.139487,-100.000000,-100.000000,0.412834,0.169363,0.469808,0.191875,2.804203,0.471427,0.269235,0.114077,1.694982,0.300197,1.579031,0.237794,1.681569,0.267546,1.696765,0.331660,1.418502,0.237986,1.683238,0.212966,61,375,375,375,-100,-100,-100,-100,-100,315,-100,-100,375,-100,315,315,375,375,375,315,375,315,315,60,5737,20603,20609,20605,-100,-100,-100,-100,-100,17884,-100,-100,20608,-100,17878,17815,20605,20610,20610,17887,20609,17888,17881,2722
AUG,0.065460,0.063592,0.096401,0.050734,0.118437,0.058482,0.179357,0.080630,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,0.281465,0.121830,-100.000000,-100.000000,-100.000000,-100.000000,0.357627,0.149218,-100.000000,-100.000000,0.422767,0.172792,0.478944,0.194124,2.804254,0.473165,0.291269,0.123070,1.651387,0.290672,1.534955,0.241079,1.641812,0.256788,1.655270,0.328657,1.404117,0.251091,1.642598,0.166668,58,396,397,397,-100,-100,-100,-100,-100,329,-100,-100,397,-100,329,327,397,397,397,329,397,329,329,68,4866,21408,21434,21443,-100,-100,-100,-100,-100,18249,-100,-100,21439,-100,18184,17557,21444,21444,21444,18244,21444,18249,18186,3195
SEP,0.055586,0.057296,0.091545,0.054550,0.109355,0.064116,0.159952,0.090702,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,0.241066,0.136055,-100.000000,-100.000000,-100.000000,-100.000000,0.307540,0.169361,-100.000000,-100.000000,0.354416,0.190204,0.400555,0.214935,2.323517,0.562554,0.253072,0.140013,1.551754,0.313287,1.474932,0.258310,1.551714,0.274434,1.557125,0.343839,1.356008,0.289657,1.533821,0.246109,26,408,408,408,-100,-100,-100,-100,-100,296,-100,-100,408,-100,296,295,411,408,408,296,408,296,296,71,1601,16586,16585,16585,-100,-100,-100,-100,-100,13160,-100,-100,16584,-100,13130,12823,17489,16586,16586,13161,16585,13161,13129,2527
OCT,0.030825,0.018175,0.086605,0.062204,0.104303,0.074986,0.152122,0.104034,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,-100.000000,0.237935,0.148566,-100.000000,-100.000000,-100.000000,-100.000000,0.283789,0.175307,-100.000000,-100.000000,0.337645,0.195949,0.376319,0.212029,1.829622,0.555248,0.235916,0.149872,1.533905,0.291203,1.377052,0.232449,1.521300,0.259392,1.560325,0.302114,1.255427,0.270394,1.509262,0.255768,19,314,315,315,-100,-100,-100,-100,-100,235,-100,-100,315,-100,234,233,315,315,315,235,315,235,234,60,1202,10918,10931,10930,-100,-100,-100,-100,-100,8400,-100,-100,10932,-100,8384,8200,11327,10931,10931,8403,10925,8402,8384,2132
